Autor del libro|título del libro|link para descarga
Kurt Vonnegut|Payasadas|https://drive.google.com/file/d/0B_yJXv2pEPBwNG04QjI4ZWF3V0U/view?usp=drivesdk&resourcekey=0-_1RqmMm9xlDaG2hVGI7pUw
Kurt Vonnegut|Pajaro De Celda|https://drive.google.com/file/d/0B_yJXv2pEPBwa2xkS2dwdEhiY3M/view?usp=drivesdk&resourcekey=0-dLt0GED3GF7xp0LybTMUnA
Kurt Vonnegut|Matadero Cinco|https://drive.google.com/file/d/0B_yJXv2pEPBwMU5pYTVINzFWLVU/view?usp=drivesdk&resourcekey=0-FoOPsTJ-x5Z6DDLu8NadrA
Kurt Vonnegut|Las Sirenas De Titan|https://drive.google.com/file/d/0B_yJXv2pEPBwTTRhblFhNG9CZVU/view?usp=drivesdk&resourcekey=0-TPi3ifYvYo-bsEHoWXwSmA
Kurt Vonnegut|Hocus Pocus|https://drive.google.com/file/d/0B_yJXv2pEPBwTDNEZ0VsWDM1SXc/view?usp=drivesdk&resourcekey=0-a2PFJSo7FSN6iyL-Raq9wQ
Kurt Vonnegut|Harrison Bergeron|https://drive.google.com/file/d/0B_yJXv2pEPBwR2swMWI0SUU0ZlU/view?usp=drivesdk&resourcekey=0-7-rT4IxPXDv-hVRW1W_SnA
Kurt Vonnegut|Galapagos|https://drive.google.com/file/d/0B_yJXv2pEPBwbmY3UFpUY0UwTk0/view?usp=drivesdk&resourcekey=0-WLxc8J5Cfa0ONWguSBg09w
Kurt Vonnegut|El Perro Lanudo De Tom Edison|https://drive.google.com/file/d/0B_yJXv2pEPBwWEFVTjM3UUNFSG8/view?usp=drivesdk&resourcekey=0-8jifNSFMljqpSdYkiqSauw
Kurt Vonnegut|Dios Le Bendiga, MrRosewater|http://vonnegut,%20kurt%20-%20dios%20le%20bendiga,%20mr.%20rosewater.rar/
Kurt Vonnegut|Cuna De Gato|https://drive.google.com/file/d/0B_yJXv2pEPBwZFFySUMwemNhRTA/view?usp=drivesdk&resourcekey=0-EI9B2BMecocCrTq2xjSi7A
Kurt Vonnegut|Bienvenida A La Jaula De Los Monos|https://drive.google.com/file/d/0B_yJXv2pEPBwY3VQUFlyYXFENmM/view?usp=drivesdk&resourcekey=0-mjQFRpm4TJPNxr5yMjJwEQ
Fernando Vallejo|El Desbarrancadero|https://drive.google.com/file/d/0B_yJXv2pEPBwTURsb012THp5VFU/view?usp=drivesdk&resourcekey=0-jVd8I7vNVNY8wMeSJkNvXw
Luis Vgil|Camino|https://drive.google.com/file/d/0B_yJXv2pEPBwY0QyQzBncWRnZmc/view?usp=drivesdk&resourcekey=0-MjN1Qy7qXSkNKTHRnGAPnA
Irma G. Vela Meza|Una Princesa En La Playa|https://drive.google.com/file/d/0B_yJXv2pEPBwYjdsYlhOclB5aEU/view?usp=drivesdk&resourcekey=0-FKxen9_tEmCqpZztv0vIEQ
Irma G. Vela Meza|Por Ti y Para Ti|https://drive.google.com/file/d/0B_yJXv2pEPBwUDZtc3J3Mk5yc0U/view?usp=drivesdk&resourcekey=0-g06ezxMiDnQTLWFvlO6plw
Pedro de Valdivia|Cartas Que Tratan Del Descubrimiento Y Conquista De Chile|https://drive.google.com/file/d/0B_yJXv2pEPBwRnctWDZlbzlCM00/view?usp=drivesdk&resourcekey=0-GNR6A11-XEqJ7rQsTRJ8LQ
José Pedro Varela|La Educacion Del Pueblo|https://drive.google.com/file/d/0B_yJXv2pEPBwdWk4alpxekZCMGc/view?usp=drivesdk&resourcekey=0-ApWVSxzJSdYkZEG3gmKH4g
José Pedro Varela|La Educacion Del Pueblo Tomo I|https://drive.google.com/file/d/0B_yJXv2pEPBwQkcxcE12SmRDOWc/view?usp=drivesdk&resourcekey=0-F0ro6ui30Gi6AwZfZmQmag
Sergio Gaut Vel Hartman|Naufrago De Si Mismo|https://drive.google.com/file/d/0B_yJXv2pEPBwNkxhZHVoZnVsc1E/view?usp=drivesdk&resourcekey=0-2KmvoV49wwHkIz7534XfKA
Sergio Gaut Vel Hartman|Carne de cañon|https://drive.google.com/file/d/0B_yJXv2pEPBwS2Z4T1hOQ1Z2MGc/view?usp=drivesdk&resourcekey=0-Y5EtOKLqou1ZzRxd7O_EqA
|Corazón. Diario de un niño|https://drive.google.com/file/d/1ZIjtZtgAFBVdK-m5Mes9JMXg7J0OUzAs/view?usp=drive_link
|Tres cuentos de Las mil y una noches|https://drive.google.com/file/d/1iHn4ZwwZ7adCZ-5vnWvjA1p0TxzRE6rf/view?usp=drive_link
|Diez cuentos de Las mil y una noches|https://drive.google.com/file/d/1nrjaWIpw9DxmzADan94o6Em6t3O6dAi-/view?usp=drive_link
|Caballería roja|https://drive.google.com/file/d/1pKr3ffyGVnzBoQH99dQwXWjQQkFINL_6/view?usp=drive_link
